part_name,specification,category_name,category_code,brand,material,unit_price,supplier,stock_status,part_code
BOSCH M8×1.25×30 六角头螺栓,M8×1.25×30,螺栓,D.01.01,BOSCH,碳钢镀锌,2.5,上海博世工业配件有限公司,充足,BOSC-D-001-001
PEM SSS-440-6 自锁螺母,SSS-440-6,螺母,D.01.02,PEM,不锈钢304,3.8,深圳沛尔紧固件有限公司,充足,PEMX-D-002-002
SOUTHCO E6-10-30-1 压缩螺钉,E6-10-30-1,螺钉,D.02.01,SOUTHCO,钢镀镍,4.2,苏州索斯科五金有限公司,紧张,SOUT-D-003-003
WD DIN125-M10 平垫圈,DIN125-M10,垫圈,D.02.02,WD,碳钢,0.3,无锡威迪紧固件有限公司,充足,WDXX-D-004-004
Hilti HUS3-H10 碳钢铆钉,HUS3-H10,铆钉,D.03.01,Hilti,碳钢,1.2,喜利得（中国）商贸有限公司,紧张,HILT-D-005-005
Bossard 89100-M6×16 内六角圆柱头螺钉,M6×16,螺钉,D.02.01,Bossard,不锈钢316,5.5,博世德（上海）贸易有限公司,充足,BOSS-D-006-006
BOSCH DIN934-M12 六角螺母,DIN934-M12,螺母,D.01.02,BOSCH,碳钢镀锌,1.8,上海博世工业配件有限公司,充足,BOSC-D-007-007
PEM FK-100-1 浮动螺母,FK-100-1,螺母,D.01.02,PEM,不锈钢316,6.5,深圳沛尔紧固件有限公司,紧张,PEMX-D-008-008
SOUTHCO M4-0.7×12 十字槽盘头螺钉,M4-0.7×12,螺钉,D.02.01,SOUTHCO,钢镀锌,0.8,苏州索斯科五金有限公司,充足,SOUT-D-009-009
WD DIN9021-M8 大垫圈,DIN9021-M8,垫圈,D.02.02,WD,不锈钢304,0.6,无锡威迪紧固件有限公司,紧张,WDXX-D-010-010
Hilti HUS3-H12 碳钢铆钉,HUS3-H12,铆钉,D.03.01,Hilti,碳钢,1.5,喜利得（中国）商贸有限公司,充足,HILT-D-011-011
Bossard 7981-M8×25 六角头螺栓,M8×25,螺栓,D.01.01,Bossard,不锈钢304,4.8,博世德（上海）贸易有限公司,紧张,BOSS-D-012-012
BOSCH DIN471-35 弹性挡圈,DIN471-35,销,D.03.02,BOSCH,弹簧钢,0.9,上海博世工业配件有限公司,充足,BOSC-D-013-013
PEM S-440-4 自锁螺母,S-440-4,螺母,D.01.02,PEM,不锈钢304,3.2,深圳沛尔紧固件有限公司,充足,PEMX-D-014-014
SOUTHCO C6-20-10-1 压缩螺钉,C6-20-10-1,螺钉,D.02.01,SOUTHCO,钢镀镍,5.0,苏州索斯科五金有限公司,紧张,SOUT-D-015-015
Shell Tellus S2 M 46 润滑油,ISO VG 46,润滑油,E.01.01,Shell,矿物基础油+添加剂,2800,上海壳牌石油化工有限公司,充足,SHEL-E-001-001
Mobil SHC 634 合成齿轮油,ISO VG 320,润滑油,E.01.01,Mobil,聚α烯烃（PAO）合成基础油,4500,埃克森美孚（中国）投资有限公司,紧张,MOBI-E-002-002
Castrol Optigear Synthetic X 320 润滑脂,NLGI 2,润滑脂,E.01.02,Castrol,聚脲基稠化剂+合成基础油,3200,嘉实多（上海）管理有限公司,充足,CAST-E-003-003
NOK AS-568-214 O型圈,ID 21.4mm × CS 3.1mm,O 型圈,E.02.01,NOK,丁腈橡胶（NBR）,12,诺克（中国）密封技术有限公司,充足,NOKX-E-004-004
